seller,body,qty_body
"Nissan Infiniti Lt",Sedan,10596
"Ford Motor Credit Company Llc",SUV,6161
"Nissan Infiniti Lt","G Sedan",5698
"Nissan Infiniti Lt","G Coupe",1258
"Nissan Infiniti Lt",Hatchback,1175
"The Hertz Corporation",Minivan,1145
"Ford Motor Credit Company Llc",SuperCrew,792
"Santander Consumer",Wagon,712
U-haul,"Regular Cab",639
"Financial Services Remarketing (Lease)",Convertible,499
"Santander Consumer",Coupe,498
U-haul,"E-Series Van",498
"Tdaf Remarketing","Crew Cab",482
"Ford Motor Credit Company Llc",SuperCab,407
U-haul,Van,375
"Nissan Infiniti Lt","G Convertible",226
"Chrysler Capital","Quad Cab",201
"Automobiles Paille Inc","Extended Cab",136
"World Omni Financial Corporation","Double Cab",85
"Hyundai Motor Finance","Genesis Coupe",80
"Hyundai Motor Finance","Elantra Coupe",55
"Fiserv/Usb Dealer Services Northstar Exchange","CTS Coupe",36
"Kia Motors Finance",Koup,33
"Nissan North America Inc.","Q60 Convertible",26
"Nissan North America Inc.","Q60 Coupe",26
"Toyota Financial Services","CrewMax Cab",24
"Toyota Financial Services","Access Cab",18
"Santander Consumer","King Cab",18
"Nissan Infiniti Lt","G37 Convertible",13
"Ahfc/Honda Lease/Trust/Hvt Inc. Eot Acuras","TSX Sport Wagon",12
U-haul,regular-cab,12
"Brunson Auto Sales","Mega Cab",9
"Economy Rent A Car & Sales Inc","Promaster Cargo Van",8
"Santander Consumer","Club Cab",6
"Vw Credit","Beetle Convertible",5
"Enterprise Veh Exchange/Rental","Transit Van",5
"Automobiles Paille Inc","Cab Plus 4",4
"Nissan Infiniti Lt","G37 Coupe",4
"The Collection","GranTurismo Convertible",2
"Automobiles Paille Inc","CTS Wagon",2
"Hopper Motorplex Inc","CTS-V Coupe",2
"Wells Fargo Dealer Services",Xtracab,2
"Baxter Ford Inc","Cab Plus",1
"Bmw Of Murrieta","CTS-V Wagon",1
